order_id,arrival_time,item_id,pick_point_id
1,216,9-14-left-item,9-14
1,216,5-2-left-item,5-2
2,312,8-11-right-item,8-11
3,649,1-18-left-item,1-18
4,683,3-8-right-item,3-8
4,683,5-14-right-item,5-14
5,694,1-11-left-item,1-11
5,694,8-6-right-item,8-6
5,694,5-8-left-item,5-8
5,694,8-11-right-item,8-11
5,694,8-15-left-item,8-15
6,703,4-19-right-item,4-19
7,793,3-17-left-item,3-17
7,793,1-12-left-item,1-12
7,793,4-20-right-item,4-20
7,793,5-5-left-item,5-5
8,824,9-1-right-item,9-1
9,905,1-16-left-item,1-16
10,971,9-18-left-item,9-18
11,1059,7-20-right-item,7-20
11,1059,7-3-left-item,7-3
11,1059,7-20-left-item,7-20
11,1059,7-11-left-item,7-11
11,1059,7-14-left-item,7-14
12,1124,2-1-right-item,2-1
12,1124,7-6-left-item,7-6
12,1124,9-18-left-item,9-18
12,1124,1-3-right-item,1-3
13,1283,7-20-left-item,7-20
13,1283,2-11-right-item,2-11
13,1283,5-5-left-item,5-5
14,1307,5-13-right-item,5-13
14,1307,3-7-right-item,3-7
14,1307,6-3-right-item,6-3
14,1307,1-7-left-item,1-7
14,1307,4-7-right-item,4-7
15,1357,3-19-right-item,3-19
16,1562,8-17-right-item,8-17
16,1562,2-20-right-item,2-20
17,1869,1-14-left-item,1-14
17,1869,5-1-right-item,5-1
18,2095,5-1-right-item,5-1
18,2095,7-7-right-item,7-7
18,2095,3-10-left-item,3-10
18,2095,2-11-right-item,2-11
19,2480,2-20-left-item,2-20
19,2480,4-12-right-item,4-12
19,2480,6-10-left-item,6-10
19,2480,8-13-right-item,8-13
19,2480,2-5-right-item,2-5
20,2522,7-15-right-item,7-15
20,2522,4-14-left-item,4-14
21,2545,6-2-left-item,6-2
22,2567,3-10-left-item,3-10
22,2567,2-7-left-item,2-7
23,2823,8-3-left-item,8-3
23,2823,5-11-right-item,5-11
23,2823,1-11-left-item,1-11
23,2823,2-15-left-item,2-15
24,2879,5-6-left-item,5-6
24,2879,3-7-right-item,3-7
24,2879,1-14-left-item,1-14
24,2879,6-7-right-item,6-7
24,2879,5-11-right-item,5-11
25,2979,1-13-left-item,1-13
25,2979,8-19-left-item,8-19
25,2979,9-11-right-item,9-11
25,2979,2-15-left-item,2-15
25,2979,2-14-right-item,2-14
26,3045,7-17-right-item,7-17
26,3045,1-18-right-item,1-18
26,3045,1-4-left-item,1-4
26,3045,6-15-left-item,6-15
26,3045,8-18-right-item,8-18
27,3058,8-14-left-item,8-14
27,3058,9-16-left-item,9-16
27,3058,9-5-right-item,9-5
27,3058,8-17-right-item,8-17
28,3083,2-14-left-item,2-14
28,3083,9-4-right-item,9-4
28,3083,9-19-left-item,9-19
29,3238,9-7-right-item,9-7
29,3238,7-18-left-item,7-18
29,3238,5-12-right-item,5-12
30,3275,3-18-right-item,3-18
30,3275,2-2-right-item,2-2
30,3275,5-18-left-item,5-18
30,3275,6-14-left-item,6-14
31,3311,8-15-right-item,8-15
32,3357,2-3-left-item,2-3
32,3357,9-20-left-item,9-20
32,3357,4-11-left-item,4-11
33,3388,1-6-left-item,1-6
33,3388,8-13-right-item,8-13
33,3388,3-19-right-item,3-19
33,3388,9-14-right-item,9-14
33,3388,1-18-left-item,1-18
34,3453,1-8-left-item,1-8
34,3453,3-19-right-item,3-19
34,3453,9-7-right-item,9-7
34,3453,2-5-left-item,2-5
35,3607,1-20-left-item,1-20
35,3607,5-10-right-item,5-10
35,3607,4-8-right-item,4-8
36,3877,7-9-right-item,7-9
36,3877,5-20-left-item,5-20
36,3877,2-19-right-item,2-19
37,4307,7-10-right-item,7-10
38,4391,8-19-right-item,8-19
38,4391,5-6-left-item,5-6
38,4391,9-7-left-item,9-7
39,4406,3-6-left-item,3-6
39,4406,5-6-right-item,5-6
39,4406,7-8-right-item,7-8
39,4406,9-13-right-item,9-13
40,4503,2-16-right-item,2-16
40,4503,8-11-left-item,8-11
41,4568,9-5-left-item,9-5
41,4568,9-16-left-item,9-16
41,4568,9-7-left-item,9-7
41,4568,3-14-left-item,3-14
41,4568,1-15-left-item,1-15
42,4653,3-20-left-item,3-20
42,4653,6-15-left-item,6-15
42,4653,5-10-left-item,5-10
42,4653,4-19-left-item,4-19
42,4653,3-17-left-item,3-17
43,4672,5-15-left-item,5-15
43,4672,9-7-right-item,9-7
43,4672,1-9-left-item,1-9
44,4736,3-9-left-item,3-9
44,4736,9-12-right-item,9-12
44,4736,6-13-left-item,6-13
44,4736,8-12-left-item,8-12
45,4815,2-15-left-item,2-15
45,4815,7-8-left-item,7-8
45,4815,3-1-left-item,3-1
46,4850,7-4-left-item,7-4
46,4850,3-20-left-item,3-20
47,4876,7-3-left-item,7-3
47,4876,8-7-right-item,8-7
48,4981,7-7-left-item,7-7
48,4981,1-5-right-item,1-5
48,4981,1-3-left-item,1-3
49,5001,1-6-right-item,1-6
50,5082,7-1-left-item,7-1
51,5145,1-16-right-item,1-16
51,5145,5-17-right-item,5-17
52,5283,9-20-right-item,9-20
52,5283,7-12-left-item,7-12
52,5283,5-4-right-item,5-4
52,5283,5-7-left-item,5-7
52,5283,7-13-right-item,7-13
53,5350,9-15-right-item,9-15
53,5350,8-16-left-item,8-16
53,5350,3-10-right-item,3-10
54,5351,8-10-right-item,8-10
54,5351,5-18-right-item,5-18
55,5361,7-3-left-item,7-3
56,5472,8-12-left-item,8-12
57,5493,2-11-left-item,2-11
57,5493,7-14-left-item,7-14
58,5507,4-7-right-item,4-7
58,5507,6-16-left-item,6-16
58,5507,5-12-left-item,5-12
58,5507,6-17-left-item,6-17
58,5507,3-4-left-item,3-4
59,5688,2-2-left-item,2-2
59,5688,2-14-left-item,2-14
59,5688,8-12-right-item,8-12
59,5688,3-14-left-item,3-14
59,5688,4-20-left-item,4-20
60,5771,6-4-right-item,6-4
61,5774,8-10-left-item,8-10
61,5774,2-18-right-item,2-18
61,5774,6-16-right-item,6-16
62,5857,2-20-left-item,2-20
62,5857,7-18-right-item,7-18
62,5857,4-5-right-item,4-5
63,5857,6-7-left-item,6-7
63,5857,1-6-right-item,1-6
64,6125,6-6-right-item,6-6
64,6125,3-1-left-item,3-1
65,6125,4-12-right-item,4-12
65,6125,2-9-right-item,2-9
65,6125,1-5-right-item,1-5
65,6125,9-4-right-item,9-4
65,6125,2-16-left-item,2-16
66,6179,2-15-left-item,2-15
67,6219,8-14-left-item,8-14
67,6219,9-20-right-item,9-20
67,6219,7-7-right-item,7-7
67,6219,7-2-right-item,7-2
68,6562,6-3-right-item,6-3
69,6673,6-5-right-item,6-5
69,6673,2-9-right-item,2-9
69,6673,8-2-left-item,8-2
69,6673,1-7-left-item,1-7
69,6673,3-15-right-item,3-15
70,6694,2-14-left-item,2-14
70,6694,5-18-left-item,5-18
71,6704,7-12-right-item,7-12
71,6704,4-9-left-item,4-9
71,6704,7-5-right-item,7-5
71,6704,2-20-right-item,2-20
71,6704,6-14-right-item,6-14
72,6835,6-14-left-item,6-14
72,6835,6-19-left-item,6-19
72,6835,9-7-left-item,9-7
72,6835,1-12-left-item,1-12
73,6961,4-9-left-item,4-9
73,6961,5-5-right-item,5-5
73,6961,8-8-left-item,8-8
73,6961,9-14-left-item,9-14
74,7101,6-13-left-item,6-13
74,7101,1-14-left-item,1-14
74,7101,1-14-right-item,1-14
75,7398,4-19-right-item,4-19
75,7398,7-20-left-item,7-20
75,7398,4-4-right-item,4-4
75,7398,1-11-right-item,1-11
76,7519,4-12-left-item,4-12
76,7519,9-8-left-item,9-8
76,7519,5-20-left-item,5-20
77,7620,2-15-right-item,2-15
77,7620,7-4-left-item,7-4
78,7699,5-16-left-item,5-16
78,7699,6-16-right-item,6-16
79,7901,8-20-left-item,8-20
79,7901,6-2-left-item,6-2
80,8021,6-17-left-item,6-17
81,8030,4-1-left-item,4-1
82,8230,1-16-right-item,1-16
82,8230,7-18-left-item,7-18
82,8230,2-2-left-item,2-2
82,8230,4-6-left-item,4-6
82,8230,7-20-right-item,7-20
83,8286,6-5-left-item,6-5
84,8894,9-13-left-item,9-13
84,8894,2-2-left-item,2-2
85,9000,5-3-left-item,5-3
85,9000,2-20-right-item,2-20
85,9000,8-19-left-item,8-19
85,9000,1-5-right-item,1-5
86,9012,2-7-right-item,2-7
86,9012,1-18-right-item,1-18
86,9012,3-8-left-item,3-8
86,9012,1-8-left-item,1-8
87,9203,4-9-left-item,4-9
87,9203,8-16-right-item,8-16
87,9203,1-8-left-item,1-8
87,9203,5-4-right-item,5-4
88,9313,1-18-left-item,1-18
88,9313,6-17-left-item,6-17
89,9325,4-8-right-item,4-8
89,9325,5-14-left-item,5-14
90,9411,2-13-right-item,2-13
90,9411,8-20-left-item,8-20
91,9618,3-17-left-item,3-17
91,9618,2-6-right-item,2-6
92,9692,5-3-right-item,5-3
92,9692,6-11-right-item,6-11
93,9703,2-18-left-item,2-18
93,9703,6-8-left-item,6-8
93,9703,4-8-left-item,4-8
93,9703,7-16-left-item,7-16
94,9756,4-2-right-item,4-2
95,9835,3-5-right-item,3-5
95,9835,6-16-right-item,6-16
95,9835,6-13-left-item,6-13
95,9835,4-1-left-item,4-1
95,9835,7-13-left-item,7-13
96,9936,5-8-left-item,5-8
96,9936,5-8-right-item,5-8
96,9936,1-10-left-item,1-10
96,9936,4-2-left-item,4-2
96,9936,5-18-left-item,5-18
97,9975,8-20-right-item,8-20
97,9975,1-15-left-item,1-15
97,9975,5-5-left-item,5-5
97,9975,3-19-left-item,3-19
97,9975,7-18-left-item,7-18
98,10073,7-2-left-item,7-2
98,10073,6-5-left-item,6-5
98,10073,6-13-left-item,6-13
99,10085,2-19-right-item,2-19
99,10085,1-7-left-item,1-7
100,10140,3-18-left-item,3-18
100,10140,4-10-right-item,4-10
